"","KRAB.Day5.1","KRAB.Day5.2","KRAB.Day5.3","KRAB.Day7.1","KRAB.Day7.2","KRAB.Day7.3","KRAB.Day14.1","KRAB.Day14.2","KRAB.Day14.3","KRAB.Day21.1","KRAB.Day21.2","KRAB.Day21.3","SID.Day5.1","SID.Day5.2","SID.Day5.3","SID.Day7.1","SID.Day7.2","SID.Day7.3","SID.Day14.1","SID.Day14.2","SID.Day14.3","SID.Day21.1","SID.Day21.2","SID.Day21.3","KRAB.Day5.1.1","KRAB.Day5.2.1","KRAB.Day5.3.1","KRAB.Day7.1.1","KRAB.Day7.2.1","KRAB.Day7.3.1","KRAB.Day14.1.1","KRAB.Day14.2.1","KRAB.Day14.3.1","KRAB.Day21.1.1","KRAB.Day21.2.1","KRAB.Day21.3.1","SID.Day5.1.1","SID.Day5.2.1","SID.Day5.3.1","SID.Day7.1.1","SID.Day7.2.1","SID.Day7.3.1","SID.Day14.1.1","SID.Day14.2.1","SID.Day14.3.1","SID.Day21.1.1","SID.Day21.2.1","SID.Day21.3.1"
"PARP2-2-NT-1",9534.70832214823,8681.25793852674,8193.24692514451,8814.58597638549,7751.27676469833,8539.28458062617,8566.75821973267,6931.280441908,8781.12962454112,9195.08196325006,8049.23405439015,7573.60649351036,7711.12204127175,8284.52785029061,8228.57609827405,8773.78012372449,8575.32806354342,7374.44982079521,8364.01070981874,7314.21257172425,6128.09503814891,9807.84650731155,7139.71036634262,6187.41093200742,8766.52704061693,9050.15168874869,8893.48809339448,7667.39246324694,8652.92165797451,10218.005603461,9188.00852294009,7217.34700734587,8094.23753150537,7243.39997524188,8547.94464620815,6966.65589793957,8718.32933113247,8714.76327360349,8452.96454648642,7857.76501405038,9415.93795855204,8397.31030043321,8148.70065454859,7893.77327948271,7674.72733863732,9406.97752531346,7116.32474370558,8406.88122606328
"PARP2-2-NT-2",8599.75148667544,8294.45757804796,8501.05391046318,8098.66584297333,7350.12044717683,8292.43393912943,7902.55805662669,8747.92017834232,6831.59863812556,7484.34162106826,8095.82725383028,7732.69431116778,7960.38667451411,8590.93717790213,7842.87866596881,7760.40364743202,7892.88732148303,7718.97044948873,7759.31683481599,7496.7506407103,8112.69465942402,8258.10272315815,7382.41178357392,7109.54577192021,6203.81345344838,6582.10029900014,7680.8253086928,5733.81874632636,5911.14155135607,6050.88063328014,6862.10729170778,5741.19737000306,6763.19968429732,7726.05929028707,5724.98634738168,7011.63167382877,7340.88434378857,6446.26624205989,4765.69793472909,6824.92361358241,5352.33829165696,5988.63974930752,5881.24516493766,6111.9011858248,4699.74732786285,4858.89259647976,6988.07580658096,5494.08794671476
"PARP2-2-NT-3",7213.84658770022,7330.39588931666,6558.6565333286,7033.93939960801,6728.02270604578,6696.64284520582,7119.42167263665,7383.79685393899,6602.81230655218,7115.31217440878,7604.01014862893,5679.94827687849,6568.32410580173,7380.21867366933,7092.24371981103,6355.87498729589,5839.58925693006,6336.1424715095,7132.51349454805,5950.5458210638,6804.48303282501,6568.98996031584,7592.94795273843,8621.77101350559,7230.47317485465,6196.58538054019,6918.20352638817,7424.28231755225,7470.49854982716,6969.22352666255,7099.65154634483,7328.12746793444,6180.59787248658,8220.12691641515,7363.5807353775,7344.8195645998,7508.02202007716,6067.26028527253,6739.61927285559,7088.6844871327,8129.28805117226,6852.59764025576,8618.61806917681,7353.61833091197,5929.49668049874,7821.65659715776,5786.11483771535,5848.51441658629
"PARP2-2-NT-4",8468.83108114248,7087.02909716132,7995.37100601108,8201.76605061142,8135.12430709833,7580.2807610061,7812.9371014535,9420.66854877095,6934.35860061191,9173.8598225476,9061.85958888894,8537.37075660919,8287.04395598091,9339.17268952278,8828.42847882809,8496.77199352916,7614.41325335681,7422.85354548769,7723.9416903917,7940.89407059613,8109.72370190714,7442.49975632378,8192.39121216514,8668.25723485922,8121.069559689,9418.65859610012,8635.51479913341,8307.20559862173,8544.80883671886,8236.26774880837,7626.82195102064,8522.71010128128,8287.34712081342,7540.89362578792,8718.70165892024,8948.34365599643,8264.66992406344,7745.48916699697,8044.03691724837,9327.54361918751,7955.92450845712,7671.50558324031,10624.0842037295,7287.29753101349,7629.90287728926,8617.84896654977,8533.02811891939,8614.1872744787
"PARP2-2-NT-5",8720.09246549867,6924.78456905776,6952.71712442339,7569.67505798911,6562.06209752801,6882.3269560662,6450.19603540881,7120.83332152389,6100.64569742077,5856.13182606271,6148.23151723292,6315.27317449102,7353.30668064965,7270.04902778654,7456.08860637659,6898.75524245257,6533.98167573406,8247.61505054188,6322.20159257909,6934.49434265702,7535.33858197722,7034.20753706614,6115.2959506394,7321.10551399897,6851.51991514609,6588.71452554235,5937.15180149752,6344.42097272233,6800.39385591828,5817.45247105009,6195.20497253958,7248.73480451263,6681.37358713289,5830.52452574595,5121.86921381238,5909.26622805467,6044.94984882186,6113.15244705471,6445.22212624248,6017.65548544364,6047.88117989961,6040.69746695446,6221.20754233462,5101.90731749136,5155.78749983876,8062.83527432467,4081.09989842294,5057.5033194067
"PARP2-3-NT-1",13036.4985630704,11415.9012165621,12089.0347860322,12376.8426832829,12573.2978808958,13102.7446698889,12406.2204488346,10931.6131787727,11530.4433378552,13094.060813419,10462.7617853888,10958.5847040534,12024.0032559611,10731.212069271,11354.5827663343,12930.2940773087,11856.0633296656,11654.8576318359,11597.5200048518,12466.2763583999,10438.9543951402,13001.5553569855,14187.7985109192,14758.9009305795,8780.02092523563,7843.52778954927,8825.69949052296,8450.43328135659,6582.22023464563,7445.68594833376,8216.23657215215,7449.06280407698,8722.66195772819,9296.01840777044,7872.48710331255,8480.2284375578,9265.02596687447,9269.42543583303,8050.18620490609,8807.12654208156,8588.80587523646,8557.48789319303,9216.41124044058,10052.7949822018,8616.04102694657,10075.0121875917,9895.05171473898,6830.59099617641
"PARP2-3-NT-2",11096.4961901728,10844.5183132409,9491.27912971638,9447.64052235021,9658.29651778909,10081.554960243,9238.49659402145,11265.7960012169,9601.2704572152,10889.3161959966,9159.18760549721,10453.6091796182,10302.2681077992,10481.0351650788,9599.82334343856,11567.5254368,9193.22975118829,12805.1579127631,9575.60940635078,10120.6133649589,10354.7772654953,10389.8592140899,10137.9013679631,8912.07272236702,7191.11601138344,7459.90265010137,7331.52570222982,7583.52888585613,6850.06731433304,6617.64036873581,6656.32029036445,7653.08348566094,7302.16091095369,7202.15454286529,7437.60347980442,7561.43758724983,6698.68046445309,7679.81590099832,7632.80330513868,7261.86081825158,8162.70752928602,7804.6532072219,5775.20185455696,7095.52654335524,8471.82319478325,8642.06774584687,6737.54299917473,9075.61041450013
"PARP2-3-NT-3",8659.2607619177,7846.52159828378,8575.46878603473,8523.59286697705,8361.15654692009,8708.58479935181,8881.6879313693,8142.00837240252,7646.89230275783,8919.19413411805,9119.8422370811,8444.99718506617,8280.00826068778,6982.00130782215,7849.43442969071,8216.97986202533,8308.80567216082,8383.33529820902,8099.80259989981,8578.31310293777,8344.42934574058,8271.84332669086,6736.18270877731,10832.2382737904,7878.17963655236,7919.11895003161,7488.75760055682,7456.32008869031,7876.65212157135,8365.9500611584,7341.00667137713,7023.48120131585,6778.47388910134,7045.94843726884,8001.18573850934,6621.53565846325,8073.65543687648,7930.64030246303,8200.8437525201,8770.71510835913,7844.17812851424,8255.15268685888,7910.62302634093,8373.20074862833,7565.58951970291,6045.61278203743,8196.00184228958,6536.3501532642
"PARP2-3-NT-4",10515.9501494761,11291.2786080188,10268.4072052874,10805.2871818088,11021.6170994167,10298.9145958972,10439.5849091463,11489.3150037697,10751.9881503407,9699.69730884193,12142.1877740974,10654.7782909786,9957.51903843577,10318.0758972105,11282.4693653934,10225.636806105,9574.4882393096,10697.2231570377,10272.057562204,11122.1323958663,8975.2626584912,13984.0085095742,8361.989792881,9416.78026849213,6933.6077132432,7118.79753842479,6840.99983978449,6572.45452023441,7518.22402948056,6457.21854531022,6756.67321077261,7234.88724693906,7690.56211882752,6228.93785125598,7738.74146281391,6970.32738984889,7813.48053191493,6904.3966157131,6970.98622097711,5941.28028300147,5859.8966155097,6694.42226740545,7077.87114776305,7145.86642761554,8341.24758998673,6013.32107630797,8384.89562565142,9952.60097876446
"PARP2-3-NT-5",13118.4891200708,14040.0301058893,13734.6182844666,13117.8152035977,14298.0664135897,13180.29509266,13932.2894238398,13824.2120353388,14174.0887878578,14553.6724906217,13264.5661783885,13922.7499775672,14056.3140963485,13220.3575059354,14496.9788436994,14737.1109265225,12573.1639342825,14704.2922874621,12605.7116209441,13548.8149600337,15300.4312119264,11806.1228496398,12323.1888275317,13164.1389286316,8227.89614625373,8298.96453145539,8662.81854195667,8695.4280018241,8058.78813575879,8557.11139565955,7113.62473779407,5983.99121279303,8342.98886688524,7200.39941808331,5807.42076731166,8247.08870131582,7070.00604083809,8322.30616594893,9398.41752386009,8697.89224091427,8208.65931169244,10342.4669425102,9175.86526882443,6778.30536793722,9062.33675080334,9578.52721200122,8002.1371698919,8821.49332289412
"PARP2-4-NT-1",12264.2004132597,12704.4519615005,11076.823353542,12129.209474283,11583.6432092438,12630.8885764084,11695.1158605912,12820.5678866212,12582.2788029277,11081.4944701356,12462.1277435863,12441.6937138274,11299.3266407686,12205.8786834314,11733.7244349177,11307.2213144557,12173.9779310458,12254.6841809662,11116.639135334,11534.0632253428,11923.4428344074,11717.7903983581,11962.5481673888,14265.5777651941,11955.5817721702,11971.7500413913,11110.7403123172,12915.9332055703,11366.4560725532,13768.4191326884,14323.7915256011,11926.4397528653,14260.6522138168,13609.2375594925,13006.9738303795,13140.2695434655,13529.9183963075,12172.5002906407,13667.5604802287,14220.8850779824,12223.1741201079,13401.8589642226,14702.5930921952,13916.1813377337,12939.6526574105,16380.9768470729,13319.0000826241,9410.93033613061
"PARP2-4-NT-2",9743.65199966549,9804.03710040282,9533.5603090184,8619.94820121825,9889.41957382304,10559.9646105774,9451.24166518024,10131.7657676768,11942.4526214089,9541.71026139027,9326.92312348167,9940.42267104592,9877.11109222855,9691.48603625214,8869.94831573347,9228.96433766355,8827.50844283369,9326.73338339183,11507.9766705278,8529.50613262065,11677.8436796787,11084.7411641726,7524.71863865734,12700.2254134902,9451.34168501607,9356.29588870218,9535.59680392752,9928.88219063942,8385.0745782871,9681.02476935978,8113.34307148048,9274.1708922738,9279.07941844631,9083.64830915056,9395.84153691646,9721.19270290883,9498.03070771029,9300.2839584107,9619.02321858061,10675.6547506668,8960.59756925205,9253.25931174347,10770.6734857264,9834.65548374058,10347.6294577183,9970.06414397093,7918.62623408982,11481.1248380487
