"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MRPS31-2",13960.9820127426,0.00313533631211584,0.00535478003794944,0.350991663317728,0.553552309645359,0.772037074606788
"MS4A13-1",14147.9219051283,0.0110834285645815,0.00389404465468723,8.08507598070864,0.00446312597713573,0.0420815049348832
"NACA-1",14709.4492888595,-0.00715531938297935,0.00351008000708411,4.11265084447018,0.0425635987357834,0.195137729588668
"NAPG-1",8004.99571704979,0.0094178237806216,0.00546300790238013,2.87530963156445,0.089947673178675,0.30526499536112
"NEDD8-1",7934.03168860994,0.0176856507208616,0.00575790334202358,9.55115708925135,0.00199823414593923,0.0248114073120788
"NHP2L1-1",5632.98632188616,0.00603958180443237,0.00553959315101814,1.17624088696914,0.278122607021956,0.556245214043911
"NUDT21-1",12130.9308321714,-0.00559606215339973,0.00389962469317772,2.03540061448834,0.153673690027934,0.41602727731686
"NUF2-1",13880.9744263216,0.0148924613955501,0.00734181310085151,4.01855844967105,0.0450021630131992,0.198842534377165
"NUP205-1",12518.3767488182,0.00230370330741137,0.00451611109955792,0.260255188150808,0.609944891336012,0.811444542938087
"NUP205-2",15171.6376871305,-0.00149440959570508,0.00361325870172859,0.166790355246519,0.682980217430057,0.856359487212441
"PELP1-1",15164.568376628,0.00409499349728276,0.00421324724205181,0.950153688453071,0.329680180327662,0.595422386288747
"PFDN2-1",13896.3327493742,0.00306825890183212,0.004840287265663,0.403681261682891,0.525194197785913,0.750037720160713
"PGLYRP4-1",14400.2123458467,0.00187301268522106,0.00403669733603582,0.215630179355315,0.642389866580301,0.829908295842181
"PHB-1",20669.3546312838,-0.00915375161185118,0.00372764673073396,5.89238917011119,0.0152064561392261,0.0972224223584618
"PHB2-1",7587.23729735256,-0.0251684380834291,0.00682197422583209,13.142968477725,0.000288600259324793,0.00482303807533011
"POLA1-1",9530.17935370757,-0.00107534122029867,0.00470941119908341,0.0524213579613786,0.818902252359123,0.913980791022542
"POLR1C-1",9754.51254543473,-0.00297920774475913,0.0044112931019388,0.454064526164245,0.500411068881029,0.737013996012586
"POLR2A-1",7587.66492457651,0.00167633882452691,0.00495020171384073,0.114250973684705,0.735355413849198,0.882109609645726
"PRPF18-1",7934.72192852511,-0.00285090406515387,0.00439718814953233,0.418936910534256,0.517467982406994,0.747987744851177
"PRPF3-1",10883.3083356871,-0.00450325761631862,0.00519156208113205,0.753098147359538,0.385497108235954,0.644176476192416
"PRPF38A-1",12028.4982416681,0.00211531507167415,0.00337260016904245,0.398734492486568,0.52774354230575,0.752476438311548
"PRPF38A-2",18194.0150488575,-0.00737187739436707,0.00366450650562183,4.00470397755842,0.0453734642202927,0.198842534377165
"PSMA1-1",4681.73798131327,-0.0384605120651283,0.00763536605526416,25.8195632878728,3.74869566538505e-07,1.24123478698305e-05
"PSMA2-1",7971.78508352736,-0.00639411951967894,0.00495352812246015,1.6270749550728,0.202108101165251,0.47423790667122
"PSMA3-1",11872.2813904672,-0.0273073830715112,0.00408171632449222,44.4521871769739,2.60645618619543e-11,1.2945399058104e-09
"PSMA6-1",11194.7259349941,-0.00409723501687653,0.00456107810599784,0.812443108965851,0.367398929227169,0.634082321870829
"PSMB3-1",12197.0615511084,0.0170841880534149,0.00473708145569921,13.2337453275707,0.000274953859606731,0.00481977942134152
"PSMC2-1",7796.18182443851,-0.029406482404142,0.00374829658347631,61.2860227932156,4.93571867876256e-15,3.15180892772409e-13
"PTGDR2-1",20436.9392788783,0.00495368854633617,0.003589077556229,1.91772764892033,0.16610737948937,0.425501424823774
"RILPL2-1",6713.21469331668,0.00736794075503492,0.00472657328890976,2.40837054056993,0.120687931659701,0.353119148972405
"RPA2-1",9412.06172643887,-0.0245312315457091,0.00514318308248516,23.1085589059017,1.53107650437586e-06,4.31297805475287e-05
