"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MTOR-CHEK2-4",10156.4348628692,0.000545280410777678,0.00679355574457154,0.00639613301774489,0.936256481069584,0.972140875814411
"MTOR-CHEK2-5",15030.9349163447,0.00781331333510765,0.00711351220666967,1.17870003596315,0.277620801346708,0.544282886850783
"PARP1-PARP2-1",13897.4048374783,0.00283408382562159,0.00716823796349932,0.158460060835097,0.690578276460955,0.857468026605685
"PARP1-PARP2-2",12689.4284986357,0.011103845952841,0.0051800326727663,4.64862881602525,0.0310783631013686,0.186898441506098
"PARP1-PARP2-3",10764.8116268382,-0.00320894306792637,0.0062714625947522,0.257327798907795,0.6119619649866,0.81777876935429
"PARP1-PARP2-4",15814.485286621,0.00635338749703454,0.00441269013878999,2.09317291321562,0.147958497249577,0.397221911534901
"PARP2-PARP1-1",14621.3960890947,0.015158606175526,0.00517050454164613,8.71544021657579,0.00315526219141545,0.064109190889214
"PARP2-PARP1-2",11173.5576901296,-0.0184217621010598,0.00734287731077271,5.99251898351878,0.0143666722818425,0.12879307846625
"PARP2-PARP1-3",11327.4428433195,-0.00186764732680056,0.0069292694413281,0.0727178998599811,0.787419861434698,0.897703348261155
"PARP2-PARP1-4",26686.7247963891,0.0108756802599746,0.00412028490434283,7.03321133691486,0.00800117461839407,0.0950574948998539
"STAG1-STAG2-1",18575.5432175054,0.0065998508531142,0.00585983001241972,1.26987434951073,0.259790253166501,0.529048943806041
"STAG1-STAG2-2",12000.2180697484,0.00528411084230975,0.00643932447338056,0.688550454413331,0.406657862913157,0.672524061577323
"STAG2-STAG1-1",12944.1574994983,-0.00156893797570016,0.00836968481274596,0.0349295216127814,0.851743419794301,0.938913214915049
"STAG2-STAG1-2",10468.4620560531,-0.0133988509496388,0.00658237987448951,4.08894794212168,0.0431645016241471,0.219256048022656
"UBB-UBC-1",16072.0120352285,-0.0034918541710027,0.00528566560714493,0.434340332566961,0.509866862287499,0.750940650551935
"UBB-UBC-2",13975.3432220041,0.000840451248727349,0.006415516146751,0.0173015238109429,0.895351897868572,0.955033313291431
"UBB-UBC-3",18152.917644577,0.00494470055459731,0.00418615986511887,1.40182212223553,0.236418726127096,0.504657916469716
"UBC-UBB-1",18137.5958325731,-0.00668444796715478,0.00441260708156902,2.28673299329159,0.130484323585419,0.370326937413855
